category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages
command-injection,thi-ng/umbrella,@thi.ng/egf,0.3.0,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,thi-ng/umbrella,,
command-injection,vincentmorneau/apex-publish-static-files,alfred-workflow-nodejs,2.0.1,setup-fail,,revert-apply-failed,fail,,line,21,,,,,,,,,,,,,,,,,,vincentmorneau/apex-publish-static-files,,
command-injection,vincentmorneau/apex-publish-static-files,apex-publish-static-files,2.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,21,6,,,3,0,0,0,0,1,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:55 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string conca…
command-injection,haf-decent/arpping,arpping,2.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,4,,,,,,,,,,,,,,,,,,,,
command-injection,omrilotan/async-git,async-git,1.13.1,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,50,6,,,1,0,0,0,0,4,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/reset/index.js:11 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).
command-injection,nfriedly/node-bestzip,bestzip,2.1.6,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,
command-injection,kucherenko/blamer,blamer,0.1.13,setup-fail,,rebuild-failed,fail,,line,43,,,,,,,,,,,,,,,,,,,,
command-injection,kylefarris/clamscan,clamscan,1.2.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,5,3,,,34,0,0,0,12,0,0,0,neither,,,exploit-minimal,skipped,0,,,
command-injection,codecov/codecov-node,codecov,3.6.4,benchmark-fail,,revert-applied-no-repro,fail,,line,17,,,,,,,,,,,,,,,,,,,,
command-injection,kellyselden/git-diff-apply,command-exists,1.2.2,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,kellyselden/git-diff-apply,,
command-injection,vincentmorneau/apex-publish-static-files,diskstats,0.0.2,benchmark-fail,,revert-applied-no-repro,fail,,line,21,,,,,,,,,,,,,,,,,,vincentmorneau/apex-publish-static-files,,
command-injection,iximiuz/node-diskusage-ng,diskusage-ng,0.2.6,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,2,,,0,0,0,0,0,1,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/posix.js:11 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).
command-injection,skoranga/node-dns-sync,dns-sync,0.1.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,6,1,,,2,0,0,0,7,1,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/dns-sync.js:25 — This formatted string which depends on [library input](1) is later used in a [shell command](2).
command-injection,nodef/extra-asciinema,extra-asciinema,1.0.0,setup-fail,,rebuild-failed,fail,,line,10,,,,,,,,,,,,,,,,,,,,
command-injection,hoperyy/get-npm-package-version,get-npm-package-version,1.0.6,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,2,0,0,0,3,0,0,0,neither,,,exploit-minimal,skipped,40,,,
command-injection,tj/node-growl,growl,1.9.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,21,3,,,1,0,0,0,1,23,23,23,codeql,,js/shell-command-constructed-from-input×23,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/growl.js:180 — This array element which depends on [library input](1) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/growl.js:192 — This array element which depends on [library input](1) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/growl.js:195 — This array element which depends on [library input](1) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/growl.js:198 — This array element which depends on [library input](1) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/growl.js:203 — This array element which depends on [library input](1) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/growl.js:216 — This array element which depends on [library input](1) is later used in a [shell command](2). || (+17 more)
command-injection,handsontable/formula-parser,hot-formula-parser,3.0.0,ok,n/a (codeql),minimized+evaded (ci:skipped),fail,yes,hunk,96,1,eval->Function+locals,sink,5,3,3,0,n/a,,,,neither,,,exploit-minimal,skipped,0,,,
command-injection,GuyMograbi/kill-by-port,kill-by-port,0.0.1,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,1,1,,,0,0,0,0,1,2,2,2,codeql,,js/shell-command-constructed-from-input×1; js/indirect-command-line-injection×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:8 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). || js/indirect-command-line-injection @ index.js:8 — This command depends on an unsanitized [command-line argument](1).
command-injection,ssnau/killport,killport,1.0.1,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,1,1,,,4,0,0,0,0,1,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:8 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).
command-injection,jas-/node-libnmap,libnmap,0.4.11,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,11,4,,,1,0,0,0,2,3,3,3,codeql,,js/shell-command-constructed-from-input×3,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/classes/tools.js:157 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](3) is later used in a [shell command](2). || js/shell-command-constructed-from-input @ lib/classes/tools.js:162 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string conca… || js/shell-command-constructed-from-input @ lib/classes/tools.js:163 — This string concatenation which depends on [library input](1) is later used in a [shell command](2). This string concatenation which depends on [library input](3) is later used in a [shell command](2).
command-injection,scravy/node-macaddress,macaddress,0.2.8,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,17,5,,,5,0,0,0,1,2,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ lib/linux.js:4 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).
command-injection,roest01/node-pdf-image,pdf-image,1.0.5,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,24,8,,,1,0,0,0,1,4,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:132 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).
command-injection,soyuka/pidusage,pidusage,1.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,9,7,,,4,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
command-injection,rrainn/PortProcesses,portprocesses,1.0.4,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,8,2,,,3,0,0,0,0,3,1,1,codeql,,js/shell-command-constructed-from-input×1,exploit-minimal,skipped,0,,,js/shell-command-constructed-from-input @ index.js:28 — This string concatenation which depends on [library input](1) is later used in a [shell command](2).
command-injection,ronomon/opened,samsung-remote,1.2.5,benchmark-fail,,revert-applied-no-repro,fail,,line,3,,,,,,,,,,,,,,,,,,ronomon/opened,,
command-injection,kellyselden/git-diff-apply,scp,0.0.3,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,kellyselden/git-diff-apply,,
command-injection,totaljs/framework,total.js,3.4.6,ok,n/a (codeql),minimized+evaded (ci:skipped),fail,yes,line,2,1,,,0,0,0,0,n/a,,,,neither,,,exploit-minimal,skipped,0,totaljs/framework,,
command-injection,vvo/node-whereis,whereis,0.4.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,7,1,shell-sink->hidden-member,sink,1,7,1,0,0,1,2,0,neither,,,exploit-minimal,skipped,0,,,
