"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","'[[""http://getfirebug.com/releases/lite/""|""relative:///vendor/firebug-lite/src/firebug-lite-debug.js:552:48:552:60""]]' can be anywhere in the URL, and arbitrary hosts may come before or after it.","/vendor/firebug-lite/src/firebug-lite-debug.js","552","35","552","67"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/vendor/firebug-lite/src/firebug-lite-debug.js","14966","31","14966","42"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression only parses --> and not --!> as a HTML comment end tag.","/lib/main/build-site.js","178","15","178","32"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///vendor/firebug-lite/src/firebug-lite-debug.js:19693:29:19693:35""]], which may cause an HTML element injection vulnerability.","/vendor/firebug-lite/src/firebug-lite-debug.js","19695","20","19695","45"
"Prototype-polluting assignment","Modifying an object obtained via a user-controlled property name may lead to accidental mutation of the built-in Object prototype, and possibly escalate to remote code execution or cross-site scripting.","warning","This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:8652:28:8652:32""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13650:26:13650:29""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13678:30:13678:33""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13846:29:13846:32""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13874:33:13874:36""]].","/lodash.js","2551","9","2551","14"
"Prototype-polluting assignment","Modifying an object obtained via a user-controlled property name may lead to accidental mutation of the built-in Object prototype, and possibly escalate to remote code execution or cross-site scripting.","warning","This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13135:26:13135:29""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13165:28:13165:31""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13600:29:13600:32""]].","/lodash.js","5987","9","5987","13"
"Prototype-polluting assignment","Modifying an object obtained via a user-controlled property name may lead to accidental mutation of the built-in Object prototype, and possibly escalate to remote code execution or cross-site scripting.","warning","This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13135:26:13135:29""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13165:28:13165:31""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13600:29:13600:32""]].","/lodash.js","5994","11","5994","15"
"Prototype-polluting assignment","Modifying an object obtained via a user-controlled property name may lead to accidental mutation of the built-in Object prototype, and possibly escalate to remote code execution or cross-site scripting.","warning","This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13135:26:13135:29""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13165:28:13165:31""]].
This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13600:29:13600:32""]].","/lodash.js","5996","18","5996","22"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression is constructed from a [[""command-line argument""|""relative:///test/remove.js:8:20:8:31""]].","/test/remove.js","19","17","19","42"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///perf/asset/perf-ui.js:33:46:33:72""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///perf/asset/perf-ui.js:34:46:34:72""]] is reinterpreted as HTML without escaping meta-characters.","/perf/asset/perf-ui.js","31","9","34","73"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///test/asset/test-ui.js:33:46:33:72""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///test/asset/test-ui.js:34:49:34:77""]] is reinterpreted as HTML without escaping meta-characters.","/test/asset/test-ui.js","31","9","34","78"
