category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages
prototype-pollution,aws/aws-sdk-js,@aws-sdk/shared-ini-file-loader,1.0.0-rc.8,benchmark-fail,,revert-applied-no-repro,fail,,line,6,,,,,,,,,,,,,,,,,,,,
prototype-pollution,eivindfjeldstad/dot,@eivifj/dot,1.0.2,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,16,2,,,4,0,0,0,1,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,firebase/firebase-js-sdk,@firebase/util,0.3.3-canary.c47ba31d0,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,firebase/firebase-js-sdk,,
prototype-pollution,strikeentco/set,@strikeentco/set,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,hunk,25,1,,,0,0,0,0,0,2,2,2,codeql,,js/prototype-polluting-assignment×2,exploit-minimal,skipped,0,,,js/prototype-polluting-assignment @ main.js:9 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1). || js/prototype-polluting-assignment @ main.js:11 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1).
prototype-pollution,TypedProject/tsed,@tsed/core,5.62.3,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,
prototype-pollution,viking04/merge,@viking04/merge,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,3,1,,,0,1,1,1,0,0,0,0,semgrep,mini-unsafe-forin-copy×1,,exploit-minimal,skipped,0,,mini-unsafe-forin-copy @ index.js:3 — `for...in` copy with no own-property check and no `__proto__` guard. Inherited and prototype-reaching keys are copied straight into the destination object.,
prototype-pollution,algolia/algoliasearch-helper-js,algoliasearch-helper,3.6.0,setup-fail,,rebuild-failed,fail,,line,5,,,,,,,,,,,,,,,,,,,,
prototype-pollution,jonschlinkert/assign-deep,assign-deep,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,15,3,pp-key->launder,flow,1,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ index.js:29 — Properties are copied from [here](1) to [target](2) without guarding against prototype pollution.
prototype-pollution,diegohaz/bodymen,bodymen,1.0.0,setup-fail,,rebuild-failed,fail,,line,3,,,,,,,,,,,,,,,,,,,,
prototype-pollution,ashaffer/cached-path-relative,cached-path-relative,1.0.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,eugeneware/changeset,changeset,0.1.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,,,2,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,davideicardi/confinit,confinit,0.3.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,32,3,,,8,2,1,1,0,2,0,0,semgrep,prototype-pollution-loop×1,,exploit-minimal,skipped,0,,"prototype-pollution-loop @ index.js:119 — Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicio…",
prototype-pollution,mattinsler/connie-lang,connie,0.1.0,benchmark-fail,,revert-applied-no-repro,fail,,line,35,,,,,,,,,,,,,,,,,,,,
prototype-pollution,hlfshell/controlled-merge,controlled-merge,1.0.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,7,,,,,,,,,,,,,,,,,,,,
prototype-pollution,unclechu/node-deep-extend,deep-extend,0.5.0,benchmark-fail,,revert-applied-no-repro,fail,,line,1,,,,,,,,,,,,,,,,,,,,
prototype-pollution,ASaiAnudeep/deep-override,deep-override,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,2,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ src/index.js:53 — Properties are copied from [obj](1) to [target](2) without guarding against prototype pollution.
prototype-pollution,sharpred/deepHas,deephas,1.0.5,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,18,1,pp-assign->helper-set,sink,0,1,1,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,alexindigo/deeply,deeply,3.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,17,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,isaymatato/deepref,deepref,1.1.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,3,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,jonschlinkert/defaults-deep,defaults-deep,0.2.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,1,1,,,0,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ index.js:22 — Properties are copied from [current](1) to [target](2) without guarding against prototype pollution.
prototype-pollution,mrodrig/doc-path,doc-path,2.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,12,,,,,,,,,,,,,,,,,,,,
prototype-pollution,rhalff/dot-object,dot-object,2.1.2,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,48,4,,,4,0,0,0,7,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,sindresorhus/dot-prop,dot-prop,2.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,6,1,,,4,0,0,0,4,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,deoxxa/dotty,dotty,0.0.1,benchmark-fail,,revert-applied-no-repro,fail,,hunk,29,,,,,,,,,,,,,,,,,,,,
prototype-pollution,justmoon/node-extend,extend,3.0.1,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,
prototype-pollution,crysalead-js/extend-merge,extend-merge,1.0.5,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,pp-key->launder,flow,0,0,1,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,Starcounter-Jack/JSON-Patch,fast-json-patch,2.0.4,setup-fail,,rebuild-failed,fail,,line,42,,,,,,,,,,,,,,,,,,,,
prototype-pollution,jessie-codes/safe-flat,flat,5.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,3,1,,,1,1,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,hapijs/hoek,hoek,5.0.0,unknown,,harness-error,,,,,,,,,,,,,,,,,,,,,,,,
prototype-pollution,i18next/i18next,i18next,19.7.0,exploit-fail,,poc-ignores-package,,,line,3,,,,,,,,,,,,,,,,,,,,
prototype-pollution,immerjs/immer,immer,8.0.0,setup-fail,,rebuild-failed,fail,,line,2,,,,,,,,,,,,,,,,,,,,
prototype-pollution,Ajnasz/IniReader,inireader,1.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,12,1,,,1,1,0,0,2,3,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,clientIO/joint,jointjs,2.2.1,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,,,
prototype-pollution,jquery/jquery,jquery,1.11.0,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,
prototype-pollution,Sdju/js-ini,js-ini,1.2.0,setup-fail,,rebuild-failed,fail,,line,29,,,,,,,,,,,,,,,,,,,,
prototype-pollution,kriszyp/json-schema,json-schema,0.3.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,3,1,,,2,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,janl/node-jsonpointer,jsonpointer,4.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,12,8,,,2,0,0,0,4,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,angus-c/just,just-safe-set,1.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
prototype-pollution,rumkin/keyget,keyget,2.2.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,28,1,,,1,0,0,0,6,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,dominictarr/libnested,libnested,1.5.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,1,0,0,0,0,2,2,2,codeql,,js/prototype-polluting-assignment×2,exploit-minimal,skipped,0,,,js/prototype-polluting-assignment @ index.js:27 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1). || js/prototype-polluting-assignment @ index.js:29 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1).
prototype-pollution,piranna/linux-cmdline,linux-cmdline,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,4,3,,,1,1,1,1,0,0,0,0,semgrep,mini-prototype-pollution-path-write×1,,exploit-minimal,skipped,0,,"mini-prototype-pollution-path-write @ index.js:1 — Writes through a caller-supplied property path without rejecting the `__proto__`, `constructor` and `prototype` segments, so a crafted path reaches Object.prototype (prototype pollution).",
prototype-pollution,lodash/lodash,lodash,4.17.9,unknown,,harness-error,,,,,,,,,,,,,,,,,,,,,,,,
prototype-pollution,josdejong/mathjs,mathjs,7.4.0,setup-fail,,rebuild-failed,fail,,line,4,,,,,,,,,,,,,,,,,,,,
prototype-pollution,jonschlinkert/merge-deep,merge-deep,3.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,7,,,,,,,,,,,,,,,,,,,,
prototype-pollution,schnittstabil/merge-options,merge-options,1.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,11,1,,,0,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,125,,,
prototype-pollution,MithrilJS/mithril.js,mithril,1.0.0,setup-fail,,infra-error,,,line,5,,,,,,,,,,,,,,,,,,,,
prototype-pollution,jonschlinkert/mixin-deep,mixin-deep,2.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,17,3,,,0,0,0,0,0,1,1,1,codeql,,js/prototype-pollution-utility×1,exploit-minimal,skipped,0,,,js/prototype-pollution-utility @ index.js:21 — Properties are copied from [obj](1) to [target](2) without guarding against prototype pollution.
prototype-pollution,aheckmann/mpath,mpath,0.4.1,benchmark-fail,,revert-applied-no-repro,fail,,line,4,,,,,,,,,,,,,,,,,,,,
prototype-pollution,aheckmann/mquery,mquery,3.2.1,benchmark-fail,,revert-applied-no-repro,fail,,line,1,,,,,,,,,,,,,,,,,,,,
prototype-pollution,cosmosio/nested-property,nested-property,0.0.5,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,8,,,,,,,,,,,,,,,,,,,,
prototype-pollution,lukeed/nestie,nestie,1.0.0,setup-fail,,rebuild-failed,fail,,line,5,,,,,,,,,,,,,,,,,,,,
prototype-pollution,digitalbazaar/forge,node-forge,0.9.0,benchmark-fail,,revert-applied-no-repro,fail,,line,10,,,,,,,,,,,,,,,,,,,,
prototype-pollution,nodee-apps/utils,nodee-utils,1.2.2,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,3,1,pp-assign->helper-set,sink,7,1,1,1,8,2,2,2,both,mini-prototype-pollution-path-write×1,js/prototype-polluting-assignment×2,exploit-minimal,skipped,0,,"mini-prototype-pollution-path-write @ lib/object.js:200 — Writes through a caller-supplied property path without rejecting the `__proto__`, `constructor` and `prototype` segments, so a crafted path reaches Object.prototype (prototype pollution).",js/prototype-polluting-assignment @ lib/object.js:212 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1). || js/prototype-polluting-assignment @ lib/object.js:214 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1).
prototype-pollution,FireBlinkLTD/object-collider,object-collider,1.0.3,setup-fail,,rebuild-failed,fail,,line,7,,,,,,,,,,,,,,,,,,,,
prototype-pollution,mariocasciaro/object-path,object-path,0.11.4,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,5,1,,,1,0,0,0,4,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,skratchdot/object-path-set,object-path-set,1.0.0,ok,yes,minimized+partial-evade (ci:skipped),fail,yes,line,8,1,pp-assign->helper-set,sink,1,0,0,0,0,2,2,0,neither,,,exploit-minimal,skipped,96,,,
prototype-pollution,vincit/objection.js,objection,2.0.0,exploit-fail,,poc-self-fires-on-revert,fail,,line,2,,,,,,,,,,,,,,,,,,,,
prototype-pollution,okunishinishi/node-objnest,objnest,5.0.0,exploit-fail,,poc-self-fires-on-revert,fail,,line,1,,,,,,,,,,,,,,,,,,,,
prototype-pollution,pjshumphreys/patchmerge,patchmerge,1.0.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,2,1,,,0,0,0,0,1,0,0,0,neither,,,exploit-minimal,skipped,0,,,
prototype-pollution,chaijs/pathval,pathval,1.1.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,31,2,,,6,0,0,0,0,2,2,2,codeql,,js/prototype-polluting-assignment×2,exploit-minimal,skipped,0,,,js/prototype-polluting-assignment @ index.js:158 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1). || js/prototype-polluting-assignment @ index.js:170 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1).
prototype-pollution,fabiospampinato/plain-object-merge,plain-object-merge,1.0.1,setup-fail,,image-failed,,,,,,,,,,,,,,,,,,,,,,,,
