category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages
redos,chalk/ansi-regex,ansi-regex,4.1.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,1,0,0,0,0,0,0,0,neither,,,,skipped,0,,,
redos,axios/axios,axios,0.21.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,0,0,0,0,11,0,0,0,neither,,,,skipped,0,,,
redos,juliangruber/brace-expansion,brace-expansion,1.1.6,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,1,0,0,0,0,1,1,0,neither,,,,skipped,0,,,
redos,browserslist/browserslist,browserslist,4.16.4,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,7,1,,,3,0,0,0,,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,
redos,kanasimi/CeJS,cejs,2.0.20170212,setup-fail,,revert-apply-failed,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,wanasit/chrono,chrono-node,2.2.3,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,16,,,,,,,,,,,,,,,,,,,,
redos,jakubpawlowicz/clean-css,clean-css,4.1.10,ok,n/a (codeql),minimized+evaded (ci:skipped),fail,yes,line,21,4,,,2,1,1,0,,,,,neither,,,,skipped,0,,,
redos,codemirror/CodeMirror,codemirror,5.58.0,exploit-fail,,poc-ignores-package,,,,,,,,,,,,,,,,,,,,,,,,
redos,Qix-/color-string,color-string,1.5.4,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,0,0,0,0,0,1,1,1,codeql,,js/polynomial-redos×1,,skipped,0,,,js/polynomial-redos @ index.js:154 — This [regular expression](1) that depends on [library input](2) may run slow on strings starting with 'hwb(' and with many repetitions of '9'. This [regular expression](1) that depends on [library input](3) may run slow…
redos,jaywcjlove/colors-cli,colors-cli,1.0.25,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,1,1,,,1,0,0,0,2,0,0,0,neither,,,,skipped,0,,,
redos,hapijs/content,content,3.0.5,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,conventional-changelog/conventional-changelog,conventional-commits-parser,3.2.0,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,conventional-changelog/conventional-changelog,,
redos,knowledgecode/date-and-time,date-and-time,0.14.1,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,24,0,0,0,3,1,1,1,codeql,,js/redos×1,,skipped,0,,,js/redos @ date-and-time.js:139 — This part of the regular expression may cause exponential backtracking on strings starting with '\[' and containing many repetitions of 'Z'.
redos,RyanMarcus/dirty-json,dirty-json,0.4.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,15,2,,,0,0,0,0,0,2,1,1,codeql,,js/redos×1,,skipped,0,,,"js/redos @ lexer.js:79 — This part of the regular expression may cause exponential backtracking on strings starting with '""' and containing many repetitions of '!'."
redos,josdejong/ducktype,ducktype,1.2.0,exploit-fail,no,minimized+partial-evade-EXPLOIT-BROKEN (ci:skipped),fail,no,hunk,75,60,,,0,0,0,0,0,1,1,1,codeql,,js/redos×1,,skipped,55,,,js/redos @ ducktype.js:161 — This part of the regular expression may cause exponential backtracking on strings starting with 'ftp://-.' and containing many repetitions of '-.'.
redos,nmanousos/email-existence,email-existence,0.1.5,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,0,0,0,0,0,1,1,1,codeql,,js/polynomial-redos×1,,skipped,0,,,js/polynomial-redos @ index.js:9 — This [regular expression](1) that depends on [library input](2) may run slow on strings starting with '!@' and with many repetitions of '!@'.
redos,ethers-io/ethers.js,ethers,5.2.0,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,C2FO/fast-csv,fast-csv,4.3.5,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,jshttp/forwarded,forwarded,0.1.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,4,2,,,0,0,0,0,0,1,1,1,codeql,,js/polynomial-redos×1,,skipped,0,,,js/polynomial-redos @ index.js:82 — This [regular expression](1) that depends on [library input](2) may run slow on strings with many repetitions of ' '.
redos,jshttp/fresh,fresh,0.5.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,4,2,,,0,0,0,0,0,1,1,1,codeql,,js/polynomial-redos×1,,skipped,0,,,js/polynomial-redos @ index.js:67 — This [regular expression](1) that depends on [library input](2) may run slow on strings with many repetitions of ' '.
redos,gulpjs/glob-parent,glob-parent,5.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,4,,,,,,,,,,,,,,,,,,,,
redos,highlightjs/highlight.js,highlight.js,10.4.0,benchmark-fail,,revert-applied-no-repro,fail,,hunk,78,,,,,,,,,,,,,,,,,,,,
redos,npm/hosted-git-info,hosted-git-info,3.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,0,0,0,0,3,1,1,1,codeql,,js/polynomial-redos×1,,skipped,0,,,js/polynomial-redos @ index.js:44 — This [regular expression](1) that depends on [library input](2) may run slow on strings starting with '9:9' and with many repetitions of '99'.
redos,remarkablemark/html-dom-parser,html-dom-parser,0.1.2,benchmark-fail,,revert-applied-no-repro,fail,,line,7,,,,,,,,,,,,,,,,,,,,
redos,HenrikJoreteg/html-parse-stringify,html-parse-stringify,2.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,3,1,,,0,0,0,0,2,2,2,2,codeql,,js/redos×2,,skipped,0,,,"js/redos @ src/parse.js:1 — This part of the regular expression may cause exponential backtracking on strings starting with '<!""""' and containing many repetitions of '""""'. || js/redos @ src/parse.js:1 — This part of the regular expression may cause exponential backtracking on strings starting with '<!''' and containing many repetitions of ''''."
redos,segmentio/is-email,is-email,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,12,1,,,0,0,0,0,0,1,1,1,codeql,,js/polynomial-redos×1,,skipped,0,,,js/polynomial-redos @ lib/index.js:13 — This [regular expression](1) that depends on [library input](2) may run slow on strings with many repetitions of 'a'. This [regular expression](3) that depends on [library input](2) may run slow on strings starting with…
redos,mafintosh/is-my-json-valid,is-my-json-valid,2.20.1,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,4,1,,,2,0,0,0,0,0,0,0,neither,,,,skipped,0,,,
redos,sindresorhus/is-svg,is-svg,4.2.2,benchmark-fail,,revert-applied-no-repro,fail,,line,14,,,,,,,,,,,,,,,,,,,,
redos,MrRio/jsPDF,jspdf,2.1.1,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,1,,,,,,,,,,,,,,,,,,,,
redos,locutusjs/locutus,locutus,2.0.10,benchmark-fail,,revert-applied-no-repro,fail,,line,1,,,,,,,,,,,,,,,,,,,,
redos,lodash/lodash,lodash,4.17.4,benchmark-fail,,revert-applied-no-repro,fail,,line,8,,,,,,,,,,,,,,,,,,,,
redos,markdown-it/markdown-it,markdown-it,9.1.0,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,markedjs/marked,marked,0.3.6,benchmark-fail,,revert-applied-no-repro,fail,,hunk,70,,,,,,,,,,,,,,,,,,,,
redos,expressjs/method-override,method-override,2.0.0,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,4,3,,,0,0,0,0,,,,,neither,,,exploit-minimal,preserved,0,,,
redos,broofa/node-mime,mime,1.4.0,benchmark-fail,,revert-applied-no-repro,fail,,line,1,,,,,,,,,,,,,,,,,,,,
redos,isaacs/minimatch,minimatch,3.0.0,exploit-fail,no,minimized+evaded-EXPLOIT-BROKEN (ci:skipped),fail,no,line,5,5,,,4,0,0,0,1,0,0,0,neither,,,,skipped,0,,,
redos,hgoebl/mobile-detect.js,mobile-detect,1.3.6,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,17,2,,,16,0,0,0,,,,,neither,,,exploit-minimal,preserved,0,,,
