category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages
redos,chalk/ansi-regex,ansi-regex,4.1.0,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,1,1,,,1,0,0,0,n/a,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,
redos,axios/axios,axios,0.21.0,exploit-fail,,poc-self-fires-on-revert,fail,,line,1,,,,,,,,,,,,,,,,,,,,
redos,juliangruber/brace-expansion,brace-expansion,1.1.6,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,1,1,,,1,0,0,0,n/a,,,,neither,,,exploit-minimal,preserved,0,,,
redos,browserslist/browserslist,browserslist,4.16.4,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,16,,,,,,,,,,,,,,,,,,,,
redos,kanasimi/CeJS,cejs,2.0.20170212,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,5,,,,,,,,,,,,,,,,,,,,
redos,wanasit/chrono,chrono-node,2.2.3,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,pass,,line,16,,,,,,,,,,,,,,,,,,,,
redos,jakubpawlowicz/clean-css,clean-css,4.1.10,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,21,8,regexp-ctor->helper,sink,2,1,1,0,n/a,,,,neither,,,ci-preserving-chunk,preserved,0,,,
redos,codemirror/CodeMirror,codemirror,5.58.0,exploit-fail,,poc-ignores-package,,,line,1,,,,,,,,,,,,,,,,,,,,
redos,Qix-/color-string,color-string,1.5.4,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,2,1,,,0,0,0,0,n/a,,,,neither,,,exploit-minimal,preserved,0,,,
redos,jaywcjlove/colors-cli,colors-cli,1.0.25,exploit-fail,,poc-self-fires-on-revert,fail,,line,1,,,,,,,,,,,,,,,,,,,,
redos,hapijs/content,content,3.0.5,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,conventional-changelog/conventional-changelog,conventional-commits-parser,3.2.0,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,conventional-changelog/conventional-changelog,,
redos,knowledgecode/date-and-time,date-and-time,0.14.1,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,2,1,,,24,0,0,0,n/a,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,
redos,RyanMarcus/dirty-json,dirty-json,0.4.0,ok,n/a (codeql),minimized+evaded (ci:preserved),fail,yes,line,15,2,,,0,0,0,0,n/a,,,,neither,,,exploit-minimal,preserved,0,,,
redos,josdejong/ducktype,ducktype,1.2.0,benchmark-fail,,revert-applied-no-repro,fail,,hunk,75,,,,,,,,,,,,,,,,,,,,
redos,nmanousos/email-existence,email-existence,0.1.5,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,2,1,,,0,0,0,0,n/a,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,
redos,ethers-io/ethers.js,ethers,5.2.0,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
