category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages
redos,chalk/ansi-regex,ansi-regex,4.1.0,exploit-fail,,poc-no-assertions,,,line,1,,,,,,,,,,,,,,,,,,,,
redos,axios/axios,axios,0.21.0,benchmark-fail,,revert-applied-no-repro,fail,,line,1,,,,,,,,,,,,,,,,,,,,
redos,juliangruber/brace-expansion,brace-expansion,1.1.6,benchmark-fail,,revert-applied-no-repro,fail,,line,1,,,,,,,,,,,,,,,,,,,,
redos,browserslist/browserslist,browserslist,4.16.4,benchmark-fail,,revert-applied-no-repro,fail,,line,16,,,,,,,,,,,,,,,,,,,,
redos,kanasimi/CeJS,cejs,2.0.20170212,setup-fail,,revert-apply-failed,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,wanasit/chrono,chrono-node,2.2.3,setup-fail,,rebuild-failed,fail,,line,16,,,,,,,,,,,,,,,,,,,,
redos,jakubpawlowicz/clean-css,clean-css,4.1.10,benchmark-fail,,revert-applied-no-repro,fail,,line,21,,,,,,,,,,,,,,,,,,,,
redos,codemirror/CodeMirror,codemirror,5.58.0,exploit-fail,,poc-no-assertions,,,line,1,,,,,,,,,,,,,,,,,,,,
redos,Qix-/color-string,color-string,1.5.4,exploit-fail,,poc-no-assertions,,,line,2,,,,,,,,,,,,,,,,,,,,
redos,jaywcjlove/colors-cli,colors-cli,1.0.25,exploit-fail,,poc-no-assertions,,,line,1,,,,,,,,,,,,,,,,,,,,
redos,hapijs/content,content,3.0.5,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,
redos,conventional-changelog/conventional-changelog,conventional-commits-parser,3.2.0,exploit-fail,,poc-no-assertions,,,line,2,,,,,,,,,,,,,,,,,,conventional-changelog/conventional-changelog,,
redos,knowledgecode/date-and-time,date-and-time,0.14.1,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,,,
redos,RyanMarcus/dirty-json,dirty-json,0.4.0,benchmark-fail,,revert-applied-no-repro,fail,,line,15,,,,,,,,,,,,,,,,,,,,
redos,josdejong/ducktype,ducktype,1.2.0,exploit-fail,,poc-no-assertions,,,hunk,75,,,,,,,,,,,,,,,,,,,,
redos,nmanousos/email-existence,email-existence,0.1.5,benchmark-fail,,revert-applied-no-repro,fail,,line,2,,,,,,,,,,,,,,,,,,,,
