category,repository,package,version,outcome,evaded_both,status,exploit_reproduces
prototype-pollution,algolia/algoliasearch-helper-js,algoliasearch-helper,3.6.0,setup-fail,,rebuild-failed,
prototype-pollution,aws/aws-sdk-js,@aws-sdk/shared-ini-file-loader,1.0.0-rc.8,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,diegohaz/bodymen,bodymen,1.0.0,setup-fail,,rebuild-failed,
prototype-pollution,mattinsler/connie-lang,connie,0.1.0,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,hlfshell/controlled-merge,controlled-merge,1.0.0,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,
prototype-pollution,mrodrig/doc-path,doc-path,2.0.0,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,deoxxa/dotty,dotty,0.0.1,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,justmoon/node-extend,extend,3.0.1,setup-fail,,image-failed,
prototype-pollution,Starcounter-Jack/JSON-Patch,fast-json-patch,2.0.4,setup-fail,,rebuild-failed,
prototype-pollution,firebase/firebase-js-sdk,@firebase/util,0.3.3-canary.c47ba31d0,setup-fail,,image-failed,
prototype-pollution,i18next/i18next,i18next,19.7.0,exploit-fail,,poc-ignores-package,
prototype-pollution,immerjs/immer,immer,8.0.0,setup-fail,,rebuild-failed,
prototype-pollution,clientIO/joint,jointjs,2.2.1,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,jquery/jquery,jquery,1.11.0,setup-fail,,image-failed,
prototype-pollution,Sdju/js-ini,js-ini,1.2.0,setup-fail,,rebuild-failed,
prototype-pollution,angus-c/just,just-safe-set,1.0.0,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,lodash/lodash,lodash,4.17.15,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,
prototype-pollution,josdejong/mathjs,mathjs,7.4.0,setup-fail,,rebuild-failed,
prototype-pollution,MithrilJS/mithril.js,mithril,1.0.0,setup-fail,,infra-error,
prototype-pollution,aheckmann/mpath,mpath,0.4.1,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,aheckmann/mquery,mquery,3.2.1,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,cosmosio/nested-property,nested-property,0.0.5,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,
prototype-pollution,lukeed/nestie,nestie,1.0.0,setup-fail,,rebuild-failed,
prototype-pollution,FireBlinkLTD/object-collider,object-collider,1.0.3,setup-fail,,rebuild-failed,
prototype-pollution,vincit/objection.js,objection,2.0.0,exploit-fail,,poc-self-fires-on-revert,
prototype-pollution,okunishinishi/node-objnest,objnest,5.0.0,exploit-fail,,poc-self-fires-on-revert,
prototype-pollution,fabiospampinato/plain-object-merge,plain-object-merge,1.0.1,setup-fail,,image-failed,
prototype-pollution,ardalanamini/prototyped.js,prototyped.js,2.0.0,exploit-fail,,poc-no-assertions,
prototype-pollution,diegohaz/querymen,querymen,2.1.3,setup-fail,,infra-error,
prototype-pollution,react-atomic/react-atomic-organism,set-object-value,0.0.5,setup-fail,,image-failed,
prototype-pollution,robinvdvleuten/shvl,shvl,2.0.1,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,
prototype-pollution,stampit-org/supermixer,supermixer,1.0.3,setup-fail,,rebuild-failed,
prototype-pollution,nolimits4web/swiper,swiper,6.5.0,setup-fail,,rebuild-failed,
prototype-pollution,thinkjs/think-config,think-config,1.0.0,benchmark-fail,,revert-applied-no-repro,
prototype-pollution,justinlettau/ts-dot-prop,ts-dot-prop,1.4.0,setup-fail,,image-failed,
prototype-pollution,TypedProject/tsed,@tsed/core,5.62.3,setup-fail,,image-failed,
prototype-pollution,xcritical-software/utilitify,utilitify,1.0.2,setup-fail,,revert-apply-failed,
