category,repository,package,version,outcome,evaded_both,status,exploit_reproduces
redos,kanasimi/CeJS,cejs,2.0.20170212,setup-fail,,revert-apply-failed,
redos,wanasit/chrono,chrono-node,2.2.3,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,
redos,codemirror/CodeMirror,codemirror,5.58.0,exploit-fail,,poc-ignores-package,
redos,hapijs/content,content,3.0.5,benchmark-fail,,revert-applied-no-repro,
redos,conventional-changelog/conventional-changelog,conventional-commits-parser,3.2.0,benchmark-fail,,revert-applied-no-repro,
redos,josdejong/ducktype,ducktype,1.2.0,exploit-fail,no,minimized+partial-evade-EXPLOIT-BROKEN (ci:skipped),no
redos,ethers-io/ethers.js,ethers,5.2.0,benchmark-fail,,revert-applied-no-repro,
redos,C2FO/fast-csv,fast-csv,4.3.5,benchmark-fail,,revert-applied-no-repro,
redos,gulpjs/glob-parent,glob-parent,5.0.0,benchmark-fail,,revert-applied-no-repro,
redos,highlightjs/highlight.js,highlight.js,10.4.0,benchmark-fail,,revert-applied-no-repro,
redos,remarkablemark/html-dom-parser,html-dom-parser,0.1.2,benchmark-fail,,revert-applied-no-repro,
redos,sindresorhus/is-svg,is-svg,4.2.2,benchmark-fail,,revert-applied-no-repro,
redos,MrRio/jsPDF,jspdf,2.1.1,benchmark-fail,,baseline-already-vulnerable: image-not-fixed,
redos,locutusjs/locutus,locutus,2.0.10,benchmark-fail,,revert-applied-no-repro,
redos,lodash/lodash,lodash,4.17.4,benchmark-fail,,revert-applied-no-repro,
redos,markdown-it/markdown-it,markdown-it,9.1.0,benchmark-fail,,revert-applied-no-repro,
redos,markedjs/marked,marked,0.3.6,benchmark-fail,,revert-applied-no-repro,
redos,broofa/node-mime,mime,1.4.0,benchmark-fail,,revert-applied-no-repro,
redos,isaacs/minimatch,minimatch,3.0.0,ok,n/a (codeql),minimized+evaded (ci:preserved),yes
redos,postcss/postcss,postcss,8.0.0,benchmark-fail,,revert-applied-no-repro,
redos,ramda/ramda,ramda,0.27.1,benchmark-fail,,revert-applied-no-repro,
redos,facebook/react-native,react-native,0.63.0-rc.0,setup-fail,,image-failed,
redos,sindresorhus/semver-regex,semver-regex,3.1.1,benchmark-fail,,revert-applied-no-repro,
redos,Khan/simple-markdown,simple-markdown,0.7.2,benchmark-fail,,revert-applied-no-repro,
redos,faisalman/ua-parser-js,ua-parser-js,0.7.22,benchmark-fail,,revert-applied-no-repro,
redos,tux-tn/validator.js,validator,13.5.2,benchmark-fail,,revert-applied-no-repro,
redos,websockets/ws,ws,7.0.0,exploit-fail,,poc-ignores-package,
