=== 78 targets, 3 at a time -> stratified-samples-gapfill ===
Mon Sep 21 23:34:03 EDT 2026
[23:34:06] DONE  code-injection/mol-proto_0.1.3 -> error | docker build failed (rc=1) -- see setup.log
[23:48:37] DONE  code-injection/serialize-javascript_2.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL
[23:49:54] DONE  command-injection/bestzip_2.1.6 -> error | docker build failed (rc=1) -- see setup.log
[23:57:55] DONE  code-injection/serialize-to-js_0.5.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 7), gates=FAIL
[23:58:22] DONE  command-injection/command-exists_1.2.2 -> pipeline-rc-1 | 
[23:58:53] DONE  command-injection/diskusage-ng_0.2.6 -> pipeline-rc-1 | 
[00:02:57] DONE  code-injection/static-eval_1.1.1 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 127), gates=FAIL
[00:41:01] DONE  command-injection/extra-asciinema_1.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL
[00:44:41] DONE  command-injection/codecov_3.6.4 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 3 failing, stil
[01:09:41] DONE  path-traversal/hostr_2.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL
[01:18:05] DONE  path-traversal/node-srv_2.0.0 -> pipeline-rc-1 | 
[01:21:20] DONE  path-traversal/public_0.1.2 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[01:21:47] DONE  path-traversal/vivaxy-here_3.1.0 -> error | docker cp of /exploit/vivaxy-here_3.1.0/node_modules/@vivaxy/here failed
[01:21:47] DONE  command-injection/thi.ng-egf_0.3.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, stil
[01:30:23] DONE  prototype-pollution/algoliasearch-helper_3.6.0 -> pipeline-rc-1 | 
[01:41:58] DONE  path-traversal/serve-here.js_1.1.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[01:42:01] DONE  prototype-pollution/connie_0.1.0 -> error | docker build failed (rc=1) -- see setup.log
[01:45:33] DONE  prototype-pollution/bodymen_1.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL
[01:57:49] DONE  prototype-pollution/controlled-merge_1.0.0 -> ok | Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']
[02:01:38] DONE  prototype-pollution/doc-path_2.0.0 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=[
[02:23:13] DONE  prototype-pollution/extend_3.0.1 -> ok | Pipeline done. seed=unhardened, loop=SUCCESS, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=
[02:27:31] DONE  prototype-pollution/dotty_0.0.1 -> ok | Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=[
[02:29:09] DONE  prototype-pollution/firebase-util_0.3.3-canary.c47ba31d0 -> error | docker build failed (rc=1) -- see setup.log
[02:41:16] DONE  prototype-pollution/fast-json-patch_2.0.4 -> ok | Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['
