repository,package,status,fixed_findings,reverted_findings,new_findings,new_in_patched_files,new_errors,new_warnings,new_info,detected,top_rules,codeql_status,codeql_fixed,codeql_reverted,codeql_new,codeql_detected,codeql_top_rules,detected_by,semgrep_messages,codeql_messages,revert_status,files_reverted,note
@vivaxy-here_3.1.0,@vivaxy/here,ok,24,24,0,0,0,0,0,no,,ok,2,2,1,yes,Shell command built from environment values×1,codeql,,"Shell command built from environment values @ /lib/open-browser.js — This shell command depends on an uncontrolled [[""absolute path""|""relative:///lib/application.js:33:36:33:48""]].",ok,14,
angular-http-server_1.0.0,angular-http-server,ok,3,3,0,0,0,0,0,no,,ok,1,3,2,yes,Uncontrolled data used in path expression×2,codeql,,"Uncontrolled data used in path expression @ /angular-http-server.js — This path depends on a [[""user-provided value""|""relative:///angular-http-server.js:62:15:62:21""]]. || Uncontrolled data used in path expression @ /angular-http-server.js — This path depends on a [[""user-provided value""|""relative:///angular-http-server.js:62:15:62:21""]].",ok,2,
crud-file-server_0.7.0,crud-file-server,ok,1,1,0,0,0,0,0,no,,ok,4,17,13,yes,Uncontrolled data used in path expression×13,codeql,,"Uncontrolled data used in path expression @ /crud-file-server.js — This path depends on a [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]]. || Uncontrolled data used in path expression @ /crud-file-server.js — This path depends on a [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]]. || Uncontrolled data used in path expression @ /crud-file-server.js — This path depends on a [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]]. || Uncontrolled data used in path expression @ /crud-file-server.js — This path depends on a [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]]. || Uncontrolled data used in path expression @ /crud-file-server.js — This path depends on a [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]]. || Uncontrolled data used in path expression @ /crud-file-server.js — This path depends on a [[""user-provided value""|""relative:///crud-file-server.js:36:39:36:45""]]. || (+7 more)",ok,2,
hangersteak_0.2.2,hangersteak,ok,4,3,0,0,0,0,0,no,,ok,1,2,2,yes,Uncontrolled data used in path expression×2,codeql,,"Uncontrolled data used in path expression @ /lib/hangersteak.js — This path depends on a [[""user-provided value""|""relative:///lib/hangersteak.js:112:7:112:13""]]. This path depends on a [[""user-provided value""|""relative:///lib/hangersteak.js:113:26:113:32""]]. || Uncontrolled data used in path expression @ /lib/hangersteak.js — This path depends on a [[""user-provided value""|""relative:///lib/hangersteak.js:112:7:112:13""]]. This path depends on a [[""user-provided value""|""relative:///lib/hangersteak.js:113:26:113:32""]].",partial,3,partial revert: some patched files could not be reverted (see revert.log)
hostr_2.0.0,hostr,ok,2,2,0,0,0,0,0,no,,ok,4,0,0,no,,neither,,,ok,2,
m-server_1.4.0,m-server,ok,4,4,0,0,0,0,0,no,,ok,1,6,6,yes,Uncontrolled data used in path expression×5; Reflected cross-site scripting×1,codeql,,"Uncontrolled data used in path expression @ /lib/index.js — This path depends on a [[""user-provided value""|""relative:///lib/index.js:10:46:10:52""]]. || Uncontrolled data used in path expression @ /lib/index.js — This path depends on a [[""user-provided value""|""relative:///lib/index.js:10:46:10:52""]]. || Uncontrolled data used in path expression @ /lib/index.js — This path depends on a [[""user-provided value""|""relative:///lib/index.js:10:46:10:52""]]. || Uncontrolled data used in path expression @ /lib/index.js — This path depends on a [[""user-provided value""|""relative:///lib/index.js:10:46:10:52""]]. || Uncontrolled data used in path expression @ /lib/index.js — This path depends on a [[""user-provided value""|""relative:///lib/index.js:10:46:10:52""]]. || Reflected cross-site scripting @ /lib/index.js — Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///lib/index.js:32:44:32:50""]].",partial,2,partial revert: some patched files could not be reverted (see revert.log)
node-simple-router_0.10.0,node-simple-router,ok,27,27,0,0,0,0,0,no,,ok,3,3,0,no,,neither,,,ok,3,
node-srv_2.0.0,node-srv,ok,0,0,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
public_0.1.2,public,ok,1,1,0,0,0,0,0,no,,ok,3,5,5,yes,Uncontrolled data used in path expression×2; Reflected cross-site scripting×2; Stored cross-site scripting×1,codeql,,"Uncontrolled data used in path expression @ /bin/public — This path depends on a [[""user-provided value""|""relative:///bin/public:73:30:73:36""]]. || Uncontrolled data used in path expression @ /bin/public — This path depends on a [[""user-provided value""|""relative:///bin/public:73:30:73:36""]]. || Reflected cross-site scripting @ /bin/public — Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///bin/public:73:30:73:36""]]. || Reflected cross-site scripting @ /bin/public — Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///bin/public:73:30:73:36""]]. || Stored cross-site scripting @ /bin/public — Stored cross-site scripting vulnerability due to [[""stored value""|""relative:///bin/public:90:46:90:50""]].",ok,1,
serve-here.js_1.1.0,serve-here.js,ok,1,1,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,3,
