repository,package,status,fixed_findings,reverted_findings,new_findings,new_in_patched_files,new_errors,new_warnings,new_info,detected,top_rules,codeql_status,codeql_fixed,codeql_reverted,codeql_new,codeql_detected,codeql_top_rules,detected_by,semgrep_messages,codeql_messages,revert_status,files_reverted,note
algoliasearch-helper_3.6.0,algoliasearch-helper,ok,33,33,0,0,0,0,0,no,,ok,3,3,0,no,,neither,,,ok,4,
assign-deep_1.0.0,assign-deep,ok,2,2,0,0,0,0,0,no,,ok,0,1,1,yes,Prototype-polluting function×1,codeql,,,partial,3,partial revert: some patched files could not be reverted (see revert.log)
bodymen_1.0.0,bodymen,ok,0,0,0,0,0,0,0,no,,ok,1,2,1,yes,Prototype-polluting assignment×1,codeql,,,ok,3,
cached-path-relative_1.0.1,cached-path-relative,ok,0,0,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
changeset_0.1.0,changeset,ok,2,2,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,partial,1,partial revert: some patched files could not be reverted (see revert.log)
confinit_0.3.0,confinit,ok,8,10,2,2,0,2,0,yes,prototype-pollution-loop×2,ok,0,2,2,yes,Prototype-polluting assignment×2,both,,,ok,10,
connie_0.1.0,connie,ok,5,5,0,0,0,0,0,no,,ok,1,1,1,yes,Prototype-polluting function×1,codeql,,,partial,3,partial revert: some patched files could not be reverted (see revert.log)
controlled-merge_1.0.0,controlled-merge,ok,0,1,1,1,0,1,0,yes,mini-unsafe-forin-copy×1,ok,2,2,0,no,,semgrep,,,partial,3,partial revert: some patched files could not be reverted (see revert.log)
deep-extend_0.5.0,deep-extend,ok,2,2,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
deep-override_1.0.0,deep-override,ok,2,2,0,0,0,0,0,no,,ok,0,1,1,yes,Prototype-polluting function×1,codeql,,,ok,1,
deephas_1.0.5,deephas,ok,0,0,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,partial,3,partial revert: some patched files could not be reverted (see revert.log)
deeply_3.0.0,deeply,ok,0,0,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,7,
deepref_1.1.1,deepref,revert_failed,0,,,,0,0,0,,,not run,,,,,,,,,failed,0,patch would not reverse-apply; see /Users/saleha/Desktop/cispa/SecBench.js/.prototype-pollution-analysis/deepref_1.1.1/revert.log
defaults-deep_0.2.0,defaults-deep,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Prototype-polluting function×1,codeql,,,ok,1,
