folder	package	fixed_ms	reverted_ms	corrected_label	detail
ansi-regex_4.1.0	ansi-regex	0	1251	reproduces	reverted 1251ms >= threshold 250ms (fixed 0.2ms)
axios_0.21.0	axios	1	1474	reproduces	reverted 1474ms >= threshold 250ms (fixed 1.2ms)
browserslist_4.16.4	browserslist	1161	1531	no-repro	reverted 1531ms < threshold 23212ms (fixed 1160.6ms) -- vuln needs more than the patch
cejs_2.0.20170212	cejs	672	607	no-repro	reverted 607ms < threshold 13443ms (fixed 672.1ms) -- vuln needs more than the patch
chrono-node_2.2.3	chrono-node	2669	2650	no-repro	reverted 2650ms < threshold 53387ms (fixed 2669.4ms) -- vuln needs more than the patch
clean-css_4.1.10	clean-css	47	4256	reproduces	reverted 4256ms >= threshold 946ms (fixed 47.3ms)
codemirror_5.58.0	codemirror	1801	2356	no-repro	reverted 2356ms < threshold 36027ms (fixed 1801.4ms) -- vuln needs more than the patch
color-string_1.5.4	color-string	0	1085	reproduces	reverted 1085ms >= threshold 250ms (fixed 0.2ms)
colors-cli_1.0.25	colors-cli	1	2423	reproduces	reverted 2423ms >= threshold 250ms (fixed 0.6ms)
content-type-parser_1.0.1	content-type-parser	n/a	n/a	image-failed	docker build failed:
#0 building with "desktop-linux" instance using docker driver

#1 [internal] load build definition from Dockerfile.fixed
#1 transferring dockerfile: 2B done
#1 DONE 0.0s
ERROR: failed to solve: failed to read dockerfile: open Dockerfile.fixed: no such file or directory
content_3.0.5	content	n/a	n/a	test-error	exploit test errored before measuring (setup/dep issue)
conventional-commits-parser_3.2.0	conventional-commits-parser	n/a	n/a	test-error	exploit test errored before measuring (setup/dep issue)
d3-color_2.0.0	d3-color	n/a	n/a	image-failed	docker build failed:
#0 building with "desktop-linux" instance using docker driver

#1 [internal] load build definition from Dockerfile.fixed
#1 transferring dockerfile: 2B done
#1 DONE 0.0s
ERROR: failed to solve: failed to read dockerfile: open Dockerfile.fixed: no such file or directory
date-and-time_0.14.1	date-and-time	0	1413	reproduces	reverted 1413ms >= threshold 250ms (fixed 0.1ms)
dirty-json_0.4.0	dirty-json	0	1107	reproduces	reverted 1107ms >= threshold 250ms (fixed 0.5ms)
ducktype_1.2.0	ducktype	373	1023	no-repro	reverted 1023ms < threshold 7451ms (fixed 372.6ms) -- vuln needs more than the patch
email-existence_0.1.5	email-existence	0	1409	reproduces	reverted 1409ms >= threshold 250ms (fixed 0.0ms)
ethers_5.2.0	ethers	n/a	n/a	test-error	exploit test errored before measuring (setup/dep issue)
fast-csv_4.3.5	fast-csv	n/a	n/a	test-error	exploit test errored before measuring (setup/dep issue)
forwarded_0.1.0	forwarded	2	1468	reproduces	reverted 1468ms >= threshold 250ms (fixed 1.6ms)
fresh_0.5.0	fresh	1	1472	reproduces	reverted 1472ms >= threshold 250ms (fixed 1.3ms)
glob-parent_5.0.0	glob-parent	1	4	no-repro	reverted 4ms < threshold 250ms (fixed 0.6ms) -- vuln needs more than the patch
highlight.js_10.4.0	highlight.js	n/a	n/a	test-error	exploit test errored before measuring (setup/dep issue)
hosted-git-info_3.0.0	hosted-git-info	20	1001	reproduces	reverted 1001ms >= threshold 398ms (fixed 19.9ms)
html-dom-parser_0.1.2	html-dom-parser	703	714	no-repro	reverted 714ms < threshold 14061ms (fixed 703.0ms) -- vuln needs more than the patch
html-parse-stringify2_2.0.1	html-parse-stringify2	n/a	n/a	image-failed	docker build failed:
#0 building with "desktop-linux" instance using docker driver

#1 [internal] load build definition from Dockerfile.fixed
#1 transferring dockerfile: 2B done
#1 DONE 0.0s
ERROR: failed to solve: failed to read dockerfile: open Dockerfile.fixed: no such file or directory
html-parse-stringify_2.0.0	html-parse-stringify	0	0	no-repro	reverted 0ms < threshold 250ms (fixed 0.1ms) -- vuln needs more than the patch
