category,package,version,cve_id,repository,repository_url,fixed_version,fix_commit_url,fix_commit_sha,source
prototype-pollution,101,1.0.0,CVE-2021-25943,tjmehta/101,https://github.com/tjmehta/101,,,,npm
prototype-pollution,Proto,1.1.4,CVE-2021-23426,adriancmiranda/Proto,https://github.com/adriancmiranda/Proto,,,,npm
prototype-pollution,Templ8,0.7.0,CVE-2020-7702,constantology/Templ8,https://github.com/constantology/Templ8,,,,npm
prototype-pollution,algoliasearch-helper,3.6.0,CVE-2021-23433,algolia/algoliasearch-helper-js,https://github.com/algolia/algoliasearch-helper-js,3.6.2,https://github.com/algolia/algoliasearch-helper-js/commit/4ff542b70b92a6b81cce8b9255700b0bc0817edd,4ff542b70b92a6b81cce8b9255700b0bc0817edd,fixCommit
prototype-pollution,arr-flatten-unflatten,1.1.4,CVE-2020-7713,Quernest/arr-flatten-unflatten,https://github.com/Quernest/arr-flatten-unflatten,,,,npm
prototype-pollution,asciitable.js,1.0.2,CVE-2020-7771,victornpb/asciitable.js,https://github.com/victornpb/asciitable.js,1.0.3,,,npm
prototype-pollution,assign-deep,1.0.0,CVE-2019-10745,jonschlinkert/assign-deep,https://github.com/jonschlinkert/assign-deep,1.0.1,https://github.com/jonschlinkert/assign-deep/commit/90bf1c551d05940898168d04066bbf15060f50cc,90bf1c551d05940898168d04066bbf15060f50cc,fixCommit
prototype-pollution,aurelia-path,1.1.0,CVE-2021-41097,aurelia/path,https://github.com/aurelia/path,1.1.7,https://github.com/aurelia/path/releases/tag/1.1.7,,fixCommit
prototype-pollution,@aws-sdk/shared-ini-file-loader,1.0.0-rc.8,CVE-2020-28472,aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3,1.0.0-rc.9,https://github.com/aws/aws-sdk-js-v3/commit/a209082dff913939672bb069964b33aa4c5409a9,a209082dff913939672bb069964b33aa4c5409a9,fixCommit
prototype-pollution,bmoor,0.8.11,CVE-2020-7736,b-heilman/bmoor,https://github.com/b-heilman/bmoor,0.8.12,,,npm
prototype-pollution,bodymen,1.0.0,CVE-2019-10792,diegohaz/bodymen,https://github.com/diegohaz/bodymen,1.1.1,https://github.com/diegohaz/bodymen/commit/5d52e8cf360410ee697afd90937e6042c3a8653b,5d52e8cf360410ee697afd90937e6042c3a8653b,fixCommit
prototype-pollution,@brikcss/merge,1.3.0,,brikcss/merge,https://github.com/brikcss/merge,,,,npm
prototype-pollution,cached-path-relative,1.0.1,CVE-2018-16472,ashaffer/cached-path-relative,https://github.com/ashaffer/cached-path-relative,1.0.2,https://github.com/ashaffer/cached-path-relative/commit/a43cffec84ed0e9eceecb43b534b6937a8028fc0,a43cffec84ed0e9eceecb43b534b6937a8028fc0,fixCommit
prototype-pollution,changeset,0.1.0,CVE-2021-25915,eugeneware/changeset,https://github.com/eugeneware/changeset,0.2.6,https://github.com/eugeneware/changeset/commit/9e588844edbb9993b32e7366cc799262b4447f99,9e588844edbb9993b32e7366cc799262b4447f99,fixCommit
prototype-pollution,class-transformer,0.1.1,CVE-2020-7637,pleerock/class-transformer,https://github.com/pleerock/class-transformer,0.3.1,,,npm
prototype-pollution,component-flatten,1.0.1,CVE-2019-10794,component/flatten.js,https://github.com/component/flatten.js,,,,npm
prototype-pollution,confinit,0.3.0,CVE-2020-7638,davideicardi/confinit,https://github.com/davideicardi/confinit,0.4.0,https://github.com/davideicardi/confinit/commit/a34e06ca5c1c8b047ef112ef188b2fe30d2a1eab,a34e06ca5c1c8b047ef112ef188b2fe30d2a1eab,fixCommit
prototype-pollution,confucious,0.0.12,CVE-2020-7714,Real-Serious-Games/confucious,https://github.com/Real-Serious-Games/confucious,,,,npm
prototype-pollution,connie,0.1.0,CVE-2020-7706,mattinsler/connie,https://github.com/mattinsler/connie,,,,fixCommit
prototype-pollution,controlled-merge,1.0.0,CVE-2020-28268,hlfshell/controlled-merge,https://github.com/hlfshell/controlled-merge,1.3.0,https://github.com/hlfshell/controlled-merge/commit/5a4b2e9ffe5a0be7f8843d4ab038599d3ae5f9d4,5a4b2e9ffe5a0be7f8843d4ab038599d3ae5f9d4,fixCommit
prototype-pollution,convict,6.0.0,,mozilla/node-convict,https://github.com/mozilla/node-convict,6.0.1,,,npm
prototype-pollution,@cookiex/deep,0.0.6,CVE-2021-23442,tony-tsx/cookiex-deep,https://github.com/tony-tsx/cookiex-deep,,,,npm
prototype-pollution,copy-props,2.0.4,CVE-2020-28503,sttk/copy-props,https://github.com/sttk/copy-props,2.0.5,,,npm
prototype-pollution,deap,1.0.0,CVE-2018-3749,selfcontained/deap,https://github.com/selfcontained/deap,1.0.1,,,npm
prototype-pollution,decal,2.0.0,CVE-2020-28449,gigafied/decal.js,https://github.com/gigafied/decal.js,,,,npm
prototype-pollution,decal,2.1.3,CVE-2020-28450,gigafied/decal.js,https://github.com/gigafied/decal.js,,,,npm
prototype-pollution,deep-defaults,1.0.5,CVE-2021-25944,d5/deep-defaults,https://github.com/d5/deep-defaults,,,,npm
prototype-pollution,deep-extend,0.5.0,CVE-2018-3750,unclechu/node-deep-extend,https://github.com/unclechu/node-deep-extend,0.5.1,https://github.com/unclechu/node-deep-extend/commit/433ee51ed606f4e1867ece57b6ff5a47bebb492f,433ee51ed606f4e1867ece57b6ff5a47bebb492f,fixCommit
prototype-pollution,deep-get-set,1.1.0,CVE-2020-7715,acstll/deep-get-set,https://github.com/acstll/deep-get-set,,,,npm
prototype-pollution,deep-override,1.0.0,CVE-2021-25941,ASaiAnudeep/deep-override,https://github.com/ASaiAnudeep/deep-override,1.0.2,https://github.com/ASaiAnudeep/deep-override/commit/2aced17651fb684959a6e04b1465a8329b3d5268,2aced17651fb684959a6e04b1465a8329b3d5268,fixCommit
prototype-pollution,deep-set,1.0.0,CVE-2020-28276,klaemo/deep-set,https://github.com/klaemo/deep-set,,,,npm
prototype-pollution,deephas,1.0.5,CVE-2020-28271,sharpred/deepHas,https://github.com/sharpred/deepHas,1.0.7,https://github.com/sharpred/deepHas/commit/2fe011713a6178c50f7deb6f039a8e5435981e20,2fe011713a6178c50f7deb6f039a8e5435981e20,fixCommit
prototype-pollution,deeply,3.0.0,CVE-2019-10750,alexindigo/deeply,https://github.com/alexindigo/deeply,3.1.0,https://github.com/alexindigo/deeply/commit/6eccb2f03ec8d3eefc6805053c4cc2a36aab1505,6eccb2f03ec8d3eefc6805053c4cc2a36aab1505,fixCommit
prototype-pollution,deepmergefn,1.1.0,CVE-2021-23417,jesusgm/deepMerge,https://github.com/jesusgm/deepMerge,,,,npm
