path,kind,category,benchmark,source_tag,source_run_dir,source_path,outcome
_duplicates/code-injection/mixin-pro_0.6.0/mixin-pro_0.6.0---2__code-injection-base,duplicate,code-injection,mixin-pro_0.6.0,base,code-injection/mixin-pro_0.6.0---2,stratified-samples-full-loop/code-injection/mixin-pro_0.6.0---2,SOLVED_SAFE
_duplicates/code-injection/mixin-pro_0.6.0/mixin-pro_0.6.0--1__code-injection-base,duplicate,code-injection,mixin-pro_0.6.0,base,code-injection/mixin-pro_0.6.0--1,stratified-samples-full-loop/code-injection/mixin-pro_0.6.0--1,SOLVED_SAFE
_duplicates/command-injection/apex-publish-static-files_2.0.0/apex-publish-static-files_2.0.0__command-injection-judge14,duplicate,command-injection,apex-publish-static-files_2.0.0,judge14,command-injection/apex-publish-static-files_2.0.0,stratified-samples-full-loop-judge14/command-injection/apex-publish-static-files_2.0.0,SOLVED_SAFE
_duplicates/command-injection/clamscan_1.2.0/clamscan_1.2.0-solved-safe__base__command-injection-base,duplicate,command-injection,clamscan_1.2.0,base,command-injection/clamscan_1.2.0-solved-safe__base,stratified-samples-full-loop/command-injection/clamscan_1.2.0-solved-safe,SOLVED_SAFE
_duplicates/command-injection/dns-sync_0.1.0/dns-sync_0.1.0__rejections-base,duplicate,command-injection,dns-sync_0.1.0,base,rejections/dns-sync_0.1.0,stratified-samples-full-loop/rejections/dns-sync_0.1.0,failed
_duplicates/command-injection/get-npm-package-version_1.0.6/get-npm-package-version_1.0.6__command-injection-judge14,duplicate,command-injection,get-npm-package-version_1.0.6,judge14,command-injection/get-npm-package-version_1.0.6,stratified-samples-full-loop-judge14/command-injection/get-npm-package-version_1.0.6,SOLVED_SAFE
_duplicates/command-injection/get-npm-package-version_1.0.6/get-npm-package-version_1.0.6__rejections-base,duplicate,command-injection,get-npm-package-version_1.0.6,base,rejections/get-npm-package-version_1.0.6,stratified-samples-full-loop/rejections/get-npm-package-version_1.0.6,failed
_duplicates/command-injection/killport_1.0.1/killport_1.0.1__judge9__command-injection-judge9,duplicate,command-injection,killport_1.0.1,judge9,command-injection/killport_1.0.1__judge9,stratified-samples-full-loop-judge9/command-injection/killport_1.0.1,SOLVED_SAFE
_duplicates/command-injection/libnmap_0.4.11/libnmap_0.4.11---1__rejections-base,duplicate,command-injection,libnmap_0.4.11,base,rejections/libnmap_0.4.11---1,stratified-samples-full-loop/rejections/libnmap_0.4.11---1,SOLVED_SAFE
_duplicates/command-injection/libnmap_0.4.11/libnmap_0.4.11__rejections-base,duplicate,command-injection,libnmap_0.4.11,base,rejections/libnmap_0.4.11,stratified-samples-full-loop/rejections/libnmap_0.4.11,failed
_duplicates/command-injection/macaddress_0.2.8/macaddress_0.2.8__command-injection-judge9,duplicate,command-injection,macaddress_0.2.8,judge9,command-injection/macaddress_0.2.8,stratified-samples-full-loop-judge9/command-injection/macaddress_0.2.8,SOLVED_SAFE
_duplicates/command-injection/macaddress_0.2.8/macaddress_0.2.8__rejections-base,duplicate,command-injection,macaddress_0.2.8,base,rejections/macaddress_0.2.8,stratified-samples-full-loop/rejections/macaddress_0.2.8,failed
_duplicates/command-injection/pidusage_1.0.0/pidusage_1.0.0__command-injection-judge9,duplicate,command-injection,pidusage_1.0.0,judge9,command-injection/pidusage_1.0.0,stratified-samples-full-loop-judge9/command-injection/pidusage_1.0.0,not-solved
_duplicates/command-injection/whereis_0.4.0/whereis_0.4.0--1__rejections-base,duplicate,command-injection,whereis_0.4.0,base,rejections/whereis_0.4.0--1,stratified-samples-full-loop/rejections/whereis_0.4.0--1,SOLVED
_duplicates/prototype-pollution/changeset_0.1.0/changeset_0.1.0-solved-safe__prototype-pollution-judge6,duplicate,prototype-pollution,changeset_0.1.0,judge6,prototype-pollution/changeset_0.1.0-solved-safe,stratified-samples-full-loop-judge6/prototype-pollution/changeset_0.1.0-solved-safe,SOLVED_SAFE
_duplicates/prototype-pollution/deepref_1.1.1/deepref_1.1.1-solved-safe__prototype-pollution-judge6,duplicate,prototype-pollution,deepref_1.1.1,judge6,prototype-pollution/deepref_1.1.1-solved-safe,stratified-samples-full-loop-judge6/prototype-pollution/deepref_1.1.1-solved-safe,SOLVED_SAFE
_duplicates/prototype-pollution/hoek_5.0.0/hoek_5.0.0-1__rejections-base,duplicate,prototype-pollution,hoek_5.0.0,base,rejections/hoek_5.0.0-1,stratified-samples-full-loop/rejections/hoek_5.0.0-1,not-solved
_duplicates/prototype-pollution/jsonpointer_4.0.0/jsonpointer_4.0.0-solved-safe__prototype-pollution-judge6,duplicate,prototype-pollution,jsonpointer_4.0.0,judge6,prototype-pollution/jsonpointer_4.0.0-solved-safe,stratified-samples-full-loop-judge6/prototype-pollution/jsonpointer_4.0.0-solved-safe,SOLVED_SAFE
_duplicates/prototype-pollution/keyget_2.2.0/keyget_2.2.0__rejections-base,duplicate,prototype-pollution,keyget_2.2.0,base,rejections/keyget_2.2.0,stratified-samples-full-loop/rejections/keyget_2.2.0,failed
_duplicates/prototype-pollution/object-path_0.11.4/object-path_0.11.4-solved-safe__prototype-pollution-judge6,duplicate,prototype-pollution,object-path_0.11.4,judge6,prototype-pollution/object-path_0.11.4-solved-safe,stratified-samples-full-loop-judge6/prototype-pollution/object-path_0.11.4-solved-safe,SOLVED_SAFE
_duplicates/prototype-pollution/undefsafe_2.0.2/undefsafe_2.0.2__rejections-base,duplicate,prototype-pollution,undefsafe_2.0.2,base,rejections/undefsafe_2.0.2,stratified-samples-full-loop/rejections/undefsafe_2.0.2,failed
_duplicates/redos/colors-cli_1.0.25/colors-cli_1.0.25__redos-judge13,duplicate,redos,colors-cli_1.0.25,judge13,redos/colors-cli_1.0.25,stratified-samples-full-loop-judge13/redos/colors-cli_1.0.25,failed
_duplicates/redos/hosted-git-info_3.0.0/hosted-git-info_3.0.0__base__redos-base,duplicate,redos,hosted-git-info_3.0.0,base,redos/hosted-git-info_3.0.0__base,stratified-samples-full-loop/redos/hosted-git-info_3.0.0,failed
_duplicates/redos/html-parse-stringify_2.0.0/html-parse-stringify_2.0.0__base__redos-base,duplicate,redos,html-parse-stringify_2.0.0,base,redos/html-parse-stringify_2.0.0__base,stratified-samples-full-loop/redos/html-parse-stringify_2.0.0,failed
_duplicates/redos/papaparse_5.1.1/papaparse_5.1.1__judge6__redos-judge6,duplicate,redos,papaparse_5.1.1,judge6,redos/papaparse_5.1.1__judge6,stratified-samples-full-loop-judge6/redos/papaparse_5.1.1,failed
code-injection/hot-formula-parser_3.0.0,unique,code-injection,hot-formula-parser_3.0.0,base,code-injection/hot-formula-parser_3.0.0,stratified-samples-full-loop/code-injection/hot-formula-parser_3.0.0,not-solved
code-injection/is-my-json-valid_2.20.0,unique,code-injection,is-my-json-valid_2.20.0,judge14,code-injection/is-my-json-valid_2.20.0,stratified-samples-full-loop-judge14/code-injection/is-my-json-valid_2.20.0,failed
code-injection/js-yaml_3.13.0,unique,code-injection,js-yaml_3.13.0,judge14,code-injection/js-yaml_3.13.0,stratified-samples-full-loop-judge14/code-injection/js-yaml_3.13.0,SOLVED_SAFE
code-injection/m-log_0.0.1,unique,code-injection,m-log_0.0.1,judge14,code-injection/m-log_0.0.1,stratified-samples-full-loop-judge14/code-injection/m-log_0.0.1,failed
code-injection/mixin-pro_0.6.0,unique,code-injection,mixin-pro_0.6.0,base,code-injection/mixin-pro_0.6.0-solved,stratified-samples-full-loop/code-injection/mixin-pro_0.6.0-solved,SOLVED
code-injection/mobile-icon-resizer_0.4.0,unique,code-injection,mobile-icon-resizer_0.4.0,judge14,code-injection/mobile-icon-resizer_0.4.0,stratified-samples-full-loop-judge14/code-injection/mobile-icon-resizer_0.4.0,SOLVED_SAFE
code-injection/pixl-class_1.0.0,unique,code-injection,pixl-class_1.0.0,judge14,code-injection/pixl-class_1.0.0,stratified-samples-full-loop-judge14/code-injection/pixl-class_1.0.0,not-solved
code-injection/thenify_3.3.0,unique,code-injection,thenify_3.3.0,judge14,code-injection/thenify_3.3.0,stratified-samples-full-loop-judge14/code-injection/thenify_3.3.0,not-solved
code-injection/underscore_1.13.0-0,unique,code-injection,underscore_1.13.0-0,base,rejections/underscore_1.13.0-0,stratified-samples-full-loop/rejections/underscore_1.13.0-0,not-solved
command-injection/apex-publish-static-files_2.0.0,unique,command-injection,apex-publish-static-files_2.0.0,base,rejections/apex-publish-static-files_2.0.0_1,stratified-samples-full-loop/rejections/apex-publish-static-files_2.0.0_1,SOLVED
command-injection/arpping_2.0.0,unique,command-injection,arpping_2.0.0,judge14,command-injection/arpping_2.0.0,stratified-samples-full-loop-judge14/command-injection/arpping_2.0.0,failed
command-injection/async-git_1.13.1,unique,command-injection,async-git_1.13.1,judge14,command-injection/async-git_1.13.1,stratified-samples-full-loop-judge14/command-injection/async-git_1.13.1,not-solved
command-injection/clamscan_1.2.0,unique,command-injection,clamscan_1.2.0,judge9,command-injection/clamscan_1.2.0-solved-safe__judge9,stratified-samples-full-loop-judge9/command-injection/clamscan_1.2.0-solved-safe,SOLVED_SAFE
command-injection/diskstats_0.0.2,unique,command-injection,diskstats_0.0.2,judge14,command-injection/diskstats_0.0.2,stratified-samples-full-loop-judge14/command-injection/diskstats_0.0.2,not-solved
command-injection/dns-sync_0.1.0,unique,command-injection,dns-sync_0.1.0,judge9,command-injection/dns-sync_0.1.0,stratified-samples-full-loop-judge9/command-injection/dns-sync_0.1.0,SOLVED_SAFE
command-injection/get-npm-package-version_1.0.6,unique,command-injection,get-npm-package-version_1.0.6,base,rejections/get-npm-package-version_1.0.6--1,stratified-samples-full-loop/rejections/get-npm-package-version_1.0.6--1,SOLVED
command-injection/growl_1.9.0,unique,command-injection,growl_1.9.0,base,command-injection/growl_1.9.0-solved,stratified-samples-full-loop/command-injection/growl_1.9.0-solved,SOLVED
command-injection/hot-formula-parser_3.0.0,unique,command-injection,hot-formula-parser_3.0.0,judge14,command-injection/hot-formula-parser_3.0.0,stratified-samples-full-loop-judge14/command-injection/hot-formula-parser_3.0.0,not-solved
command-injection/kill-by-port_0.0.1,unique,command-injection,kill-by-port_0.0.1,base,rejections/kill-by-port_0.0.1,stratified-samples-full-loop/rejections/kill-by-port_0.0.1,failed
command-injection/killport_1.0.1,unique,command-injection,killport_1.0.1,judge6,command-injection/killport_1.0.1__judge6,stratified-samples-full-loop-judge6/command-injection/killport_1.0.1,SOLVED_SAFE
command-injection/libnmap_0.4.11,unique,command-injection,libnmap_0.4.11,judge14,command-injection/libnmap_0.4.11,stratified-samples-full-loop-judge14/command-injection/libnmap_0.4.11,SOLVED
command-injection/macaddress_0.2.8,unique,command-injection,macaddress_0.2.8,base,rejections/macaddress_0.2.8---1,stratified-samples-full-loop/rejections/macaddress_0.2.8---1,SOLVED
command-injection/pdf-image_1.0.5,unique,command-injection,pdf-image_1.0.5,judge6,command-injection/pdf-image_1.0.5,stratified-samples-full-loop-judge6/command-injection/pdf-image_1.0.5,failed
command-injection/pidusage_1.0.0,unique,command-injection,pidusage_1.0.0,base,command-injection/pidusage_1.0.0-solved-safe,stratified-samples-full-loop/command-injection/pidusage_1.0.0-solved-safe,SOLVED_SAFE
command-injection/portprocesses_1.0.4,unique,command-injection,portprocesses_1.0.4,judge14,command-injection/portprocesses_1.0.4,stratified-samples-full-loop-judge14/command-injection/portprocesses_1.0.4,SOLVED
command-injection/samsung-remote_1.2.5,unique,command-injection,samsung-remote_1.2.5,judge14,command-injection/samsung-remote_1.2.5,stratified-samples-full-loop-judge14/command-injection/samsung-remote_1.2.5,not-solved
command-injection/total.js_3.4.6,unique,command-injection,total.js_3.4.6,judge14,command-injection/total.js_3.4.6,stratified-samples-full-loop-judge14/command-injection/total.js_3.4.6,failed
command-injection/whereis_0.4.0,unique,command-injection,whereis_0.4.0,judge9,command-injection/whereis_0.4.0,stratified-samples-full-loop-judge9/command-injection/whereis_0.4.0,SOLVED
