category,folder,package,version,status,verdict,seed_patch_applies,seed_exploit_fires,evades_both,evasive_patch_regenerated,base_commit,instance_cost,api_calls,prompt_tokens,completion_tokens,total_tokens,trajectories,wall_seconds_setup,wall_seconds_pipeline,wall_seconds_total,started_at,finished_at,error
code-injection,m-log_0.0.1,m-log,0.0.1,error,,,,,False,,,,,,,,0.0,0.0,0.0,2026-08-18T07:06:57.981428+00:00,2026-08-18T07:06:57.981650+00:00,/Users/saleha/Desktop/cispa/SecBench.js/code-injection/m-log_0.0.1/Dockerfile.fixed missing
code-injection,mixin-pro_0.6.0,mixin-pro,0.6.0,ok,"Pipeline done. loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']",True,True,True,False,8bb355209f0a,0.017339,62,1215998,33334,1249332,2,8.2,610.0,622.5,2026-08-18T07:27:43.797654+00:00,2026-08-18T07:38:06.293922+00:00,
code-injection,underscore_1.13.0-0,underscore,1.13.0-0,ok,"Pipeline done. loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=FAIL",True,True,True,False,4c73526d4383,0.094963,215,7576042,101836,7677878,6,46.0,5079.6,5128.8,2026-08-17T10:57:38.670322+00:00,2026-08-17T12:23:07.458074+00:00,
command-injection,pidusage_1.0.0,pidusage,1.0.0,pipeline-rc-1,,True,True,True,False,b70eca15f7ca,0.022451,87,1040303,35261,1075564,5,23.4,4091.9,4117.1,2026-08-17T12:23:07.460525+00:00,2026-08-17T13:31:44.586726+00:00,
path-traversal,hangersteak_0.2.2,hangersteak,0.2.2,aborted,,True,False,True,False,9e853cced065,,,,,,,23.1,0.0,25.4,2026-08-17T13:32:06.855370+00:00,2026-08-17T13:32:32.266263+00:00,preflight: seed exploit did not reproduce on host checkout
path-traversal,node-simple-router_0.10.0,node-simple-router,0.10.0,aborted,,True,False,True,False,dfdd52e2e806,,,,,,,20.0,0.0,22.3,2026-08-17T13:31:44.589738+00:00,2026-08-17T13:32:06.854053+00:00,preflight: seed exploit did not reproduce on host checkout
prototype-pollution,cached-path-relative_1.0.1,cached-path-relative,1.0.1,ok,"Pipeline done. loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']",True,True,True,False,a43cffec84ed,0.007637,36,369566,16790,386356,2,62.2,644.7,711.7,2026-08-18T07:28:53.347907+00:00,2026-08-18T07:40:45.041619+00:00,
prototype-pollution,hoek_5.0.0,hoek,5.0.0,ok,"Pipeline done. loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL",True,True,True,False,32ed5c941332,0.009013,40,833665,10931,844596,1,6.5,1296.6,1305.1,2026-08-18T05:35:05.833900+00:00,2026-08-18T05:56:50.978207+00:00,
prototype-pollution,json-schema_0.3.0,json-schema,0.3.0,ok,"Pipeline done. loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']",True,True,True,False,22f146111f54,0.019056,50,1095391,38744,1134135,2,28.2,915.5,947.1,2026-08-18T08:08:31.863244+00:00,2026-08-18T08:24:18.934372+00:00,
prototype-pollution,set-or-get_1.2.10,set-or-get,1.2.10,started,,,,,False,,,,,,,,0.0,0.0,15.5,2026-08-18T08:09:05.874390+00:00,2026-08-18T08:09:21.361596+00:00,
