category,folder,package,version,status,verdict,seed_exploit_fires,evades_both,evasive_patch_regenerated,base_commit,instance_cost,api_calls,prompt_tokens,completion_tokens,total_tokens,trajectories,wall_seconds_setup,wall_seconds_pipeline,wall_seconds_total,error
prototype-pollution,strikeentco-set_1.0.0,@strikeentco/set,1.0.0,ok (resumed),"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 4), gates=PASS, final_gate=['SOLVED']",,False,False,102cc6b2e1d1,0.016083,21,452059,28461,480520,1,26.0,1192.8,1220.0,
prototype-pollution,viking04-merge_1.0.0,@viking04/merge,1.0.0,ok,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']",,False,False,baba40332080,0.0615,128,2616679,117642,2734321,5,1.3,3189.1,3190.6,
prototype-pollution,assign-deep_1.0.0,assign-deep,1.0.0,ok,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']",,False,False,90bf1c551d05,0.00713,19,256118,14891,271009,1,16.1,1108.3,1125.4,
prototype-pollution,confinit_0.3.0,confinit,0.3.0,ok (resumed),"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 3), gates=FAIL",,False,False,a34e06ca5c1c,0.0,0,0,0,0,0,10.5,781.6,793.0,
prototype-pollution,deep-extend_0.5.0,deep-extend,0.5.0,ok,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']",,True,False,433ee51ed606,0.503661,542,26047406,161609,26209015,4,10.8,1983.5,1994.9,
prototype-pollution,deep-override_1.0.0,deep-override,1.0.0,ok (resumed),"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']",,False,False,2aced17651fb,0.014473,46,355693,19029,374722,3,2.4,920.1,922.9,
prototype-pollution,defaults-deep_0.2.0,defaults-deep,0.2.0,ok,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']",,False,False,c873f341327a,0.021156,72,498108,28056,526164,5,13.2,675.9,689.5,
prototype-pollution,libnested_1.5.0,libnested,1.5.0,ok,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED']",,False,False,9619863a319e,0.005224,27,223411,11289,234700,2,13.6,935.7,950.1,
prototype-pollution,linux-cmdline_1.0.0,linux-cmdline,1.0.0,ok,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL",,False,False,53c61a88bc47,0.255572,269,11857488,69305,11926793,2,16.3,632.7,649.3,
prototype-pollution,merge-deep_3.0.0,merge-deep,3.0.0,ok (resumed),"Pipeline done. seed=unhardened, loop=no-win, final tests=REGRESSION ❌ 8 new failure(s) (baseline 2, now 10), gates=FAIL",,True,False,628ff47c9d82,0.0,0,0,0,0,0,2.7,547.5,550.5,
prototype-pollution,mixin-deep_2.0.0,mixin-deep,2.0.0,ok (resumed),"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']",,False,False,8f464c8ce976,0.008805,29,249128,13186,262314,2,3.6,620.9,625.3,
prototype-pollution,node-forge_0.9.0,node-forge,0.9.0,ok (resumed),"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL",,False,False,8018c3ea6f8e,0.0,0,0,0,0,0,7.4,3168.5,3177.9,
prototype-pollution,nodee-utils_1.2.2,nodee-utils,1.2.2,ok (resumed),"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL",,False,False,52460d936c52,0.0,0,0,0,0,0,2.8,1479.3,1482.5,
prototype-pollution,pathval_1.1.0,pathval,1.1.0,ok (resumed),"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']",,False,False,7859e0e1ce4c,0.043056,77,1593255,43327,1636582,3,12.6,1875.7,1891.5,
prototype-pollution,properties-reader_2.0.0,properties-reader,2.0.0,ok (resumed),"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL",,False,False,0877cc871db9,0.0,0,0,0,0,0,4.3,2584.9,2589.9,
prototype-pollution,set-value_3.0.0,set-value,3.0.0,ok (resumed),"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 17), gates=PASS, final_gate=['SOLVED_SAFE']",,True,False,7cf8073bb06b,0.036331,51,1063256,55542,1118798,3,2.7,1097.8,1101.5,
prototype-pollution,total.js_3.4.6,total.js,3.4.6,ok,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL",,True,False,b3f901561d66,0.0,0,0,0,0,0,12.5,4143.2,4156.1,
prototype-pollution,tree-kit_0.6.1,tree-kit,0.6.1,ok (resumed),"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 127), gates=PASS, final_gate=['SOLVED_SAFE']",,False,False,c90d45f4f0e1,0.018246,24,578238,21459,599697,1,3.5,2245.4,2249.5,
